Jasmine_Brandon, 14981, 10.93%
Jasmine_Alex, 28486, 20.79%
Jasmine_Layton, 14183, 10.35%
Jasmine_Anthony, 13846, 10.10%
Jasmine_Pratt, 8234, 6.01%
Jasmine_Curtis, 8234, 6.01%
Jasmine_John, 12296, 8.97%
Jasmine_Garland, 12134, 8.85%
Jasmine_Dario, 11356, 8.29%
Jasmine_Nathan, 13288, 9.70%
-------
Jenni_Brandon, 14809, 10.81%
Jenni_Alex, 14049, 10.25%
Jenni_Layton, 9168, 6.69%
Jenni_Anthony, 29233, 21.33%
Jenni_Pratt, 7902, 5.77%
Jenni_Curtis, 7902, 5.77%
Jenni_John, 14680, 10.71%
Jenni_Garland, 10834, 7.91%
Jenni_Dario, 11036, 8.05%
Jenni_Nathan, 17425, 12.72%
-------
Tyler_Brandon, 23753, 17.33%
Tyler_Alex, 14434, 10.53%
Tyler_Layton, 13554, 9.89%
Tyler_Anthony, 13911, 10.15%
Tyler_Pratt, 8887, 6.49%
Tyler_Curtis, 8887, 6.49%
Tyler_John, 15355, 11.20%
Tyler_Garland, 12162, 8.87%
Tyler_Dario, 12488, 9.11%
Tyler_Nathan, 13607, 9.93%
-------
Jessica_Brandon, 0, 0.00%
Jessica_Alex, 15238, 11.12%
Jessica_Layton, 20101, 14.67%
Jessica_Anthony, 9819, 7.17%
Jessica_Pratt, 8942, 6.53%
Jessica_Curtis, 8942, 6.53%
Jessica_John, 16872, 12.31%
Jessica_Garland, 12010, 8.76%
Jessica_Dario, 12623, 9.21%
Jessica_Nathan, 32491, 23.71%
-------
Paris_Brandon, 9165, 6.69%
Paris_Alex, 8687, 6.34%
Paris_Layton, 7808, 5.70%
Paris_Anthony, 8097, 5.91%
Paris_Pratt, 69119, 50.44%
Paris_Curtis, 3000, 2.19%
Paris_John, 9372, 6.84%
Paris_Garland, 6709, 4.90%
Paris_Dario, 7121, 5.20%
Paris_Nathan, 7960, 5.81%
-------
Briana_Brandon, 9165, 6.69%
Briana_Alex, 8687, 6.34%
Briana_Layton, 7808, 5.70%
Briana_Anthony, 8097, 5.91%
Briana_Pratt, 3000, 2.19%
Briana_Curtis, 69119, 50.44%
Briana_John, 9372, 6.84%
Briana_Garland, 6709, 4.90%
Briana_Dario, 7121, 5.20%
Briana_Nathan, 7960, 5.81%
-------
Alexandria_Brandon, 0, 0.00%
Alexandria_Alex, 12490, 9.11%
Alexandria_Layton, 11921, 8.70%
Alexandria_Anthony, 15332, 11.19%
Alexandria_Pratt, 7546, 5.51%
Alexandria_Curtis, 7546, 5.51%
Alexandria_John, 13871, 10.12%
Alexandria_Garland, 45754, 33.39%
Alexandria_Dario, 10632, 7.76%
Alexandria_Nathan, 11946, 8.72%
-------
Ellie_Brandon, 15373, 11.22%
Ellie_Alex, 10047, 7.33%
Ellie_Layton, 29257, 21.35%
Ellie_Anthony, 14127, 10.31%
Ellie_Pratt, 8600, 6.28%
Ellie_Curtis, 8600, 6.28%
Ellie_John, 15419, 11.25%
Ellie_Garland, 11123, 8.12%
Ellie_Dario, 11555, 8.43%
Ellie_Nathan, 12937, 9.44%
-------
Ashley_Brandon, 12999, 9.49%
Ashley_Alex, 11712, 8.55%
Ashley_Layton, 10943, 7.99%
Ashley_Anthony, 11339, 8.27%
Ashley_Pratt, 7021, 5.12%
Ashley_Curtis, 7021, 5.12%
Ashley_John, 15444, 11.27%
Ashley_Garland, 9267, 6.76%
Ashley_Dario, 40311, 29.42%
Ashley_Nathan, 10981, 8.01%
-------
Shelby_Brandon, 36793, 26.85%
Shelby_Alex, 13208, 9.64%
Shelby_Layton, 12295, 8.97%
Shelby_Anthony, 13237, 9.66%
Shelby_Pratt, 7787, 5.68%
Shelby_Curtis, 7787, 5.68%
Shelby_John, 14357, 10.48%
Shelby_Garland, 10336, 7.54%
Shelby_Dario, 12795, 9.34%
Shelby_Nathan, 8443, 6.16%
-------
Christina_Brandon, 0, 0.00%
Christina_Alex, 18854, 13.76%
Christina_Layton, 12519, 9.14%
Christina_Anthony, 12519, 9.14%
Christina_Pratt, 12519, 9.14%
Christina_Curtis, 12519, 9.14%
Christina_John, 30551, 22.29%
Christina_Garland, 12519, 9.14%
Christina_Dario, 12519, 9.14%
Christina_Nathan, 12519, 9.14%
-------
