Nour,Paige,0
Paige,Remy,0
Justin,Paige,0
Amber,Paige,0.09090909090909091
Kari,Paige,0
Basit,Paige,0
Jasmine,Paige,0
Kylie,Paige,0
Max,Paige,0
Jonathan,Paige,0
Brandon,Paige,0
Danny,Paige,0
Aasha,Paige,0
Jenna,Paige,0.9090909090909091
Kai,Paige,0
Kai,Nour,0
Kai,Remy,0.09090909090909091
Justin,Kai,0
Amber,Kai,0
Kai,Kari,0
Basit,Kai,0
Jasmine,Kai,0
Kai,Kylie,0
Kai,Max,0
Jonathan,Kai,0
Brandon,Kai,0
Danny,Kai,0.9090909090909091
Aasha,Kai,0
Jenna,Kai,0
Jenna,Nour,0
Jenna,Remy,0
Jenna,Justin,0
Amber,Jenna,0
Jenna,Kari,0.09090909090909091
Basit,Jenna,0
Jasmine,Jenna,0
Jenna,Kylie,0
Jenna,Max,0
Jenna,Jonathan,0
Brandon,Jenna,0
Danny,Jenna,0
Aasha,Jenna,0
Aasha,Nour,0
Aasha,Remy,0
Aasha,Justin,0
Aasha,Amber,0
Aasha,Kari,0
Aasha,Basit,0
Aasha,Jasmine,0
Aasha,Kylie,0
Aasha,Max,0
Aasha,Jonathan,0
Aasha,Brandon,1
Aasha,Danny,0
Danny,Nour,0
Danny,Remy,0
Danny,Justin,0
Amber,Danny,0
Danny,Kari,0
Basit,Danny,0
Danny,Jasmine,0
Danny,Kylie,0.09090909090909091
Danny,Max,0
Danny,Jonathan,0
Brandon,Danny,0
Brandon,Nour,0
Brandon,Remy,0
Brandon,Justin,0
Amber,Brandon,0
Brandon,Kari,0
Basit,Brandon,0
Brandon,Jasmine,0
Brandon,Kylie,0
Brandon,Max,0
Brandon,Jonathan,0
Jonathan,Nour,0
Jonathan,Remy,0
Jonathan,Justin,0
Amber,Jonathan,0
Jonathan,Kari,0
Basit,Jonathan,1
Jasmine,Jonathan,0
Jonathan,Kylie,0
Jonathan,Max,0
Max,Nour,0
Max,Remy,0.18181818181818182
Justin,Max,0.09090909090909091
Amber,Max,0.18181818181818182
Kari,Max,0.2727272727272727
Basit,Max,0
Jasmine,Max,0
Kylie,Max,0.2727272727272727
Kylie,Nour,0
Kylie,Remy,0.18181818181818182
Justin,Kylie,0.2727272727272727
Amber,Kylie,0.18181818181818182
Kari,Kylie,0
Basit,Kylie,0
Jasmine,Kylie,0
Jasmine,Nour,1
Jasmine,Remy,0
Jasmine,Justin,0
Amber,Jasmine,0
Jasmine,Kari,0
Basit,Jasmine,0
Basit,Nour,0
Basit,Remy,0
Basit,Justin,0
Amber,Basit,0
Basit,Kari,0
Kari,Nour,0
Kari,Remy,0.18181818181818182
Justin,Kari,0.2727272727272727
Amber,Kari,0.18181818181818182
Amber,Nour,0
Amber,Remy,0.18181818181818182
Amber,Justin,0.18181818181818182
Justin,Nour,0
Justin,Remy,0.18181818181818182
Nour,Remy,0
